серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
90-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ТТЭО;27.11.2017;Т89-17
91-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;ТТЭО;27.11.2017;Т91-17
92-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;ТТЭО;27.11.2017;Т91-17
93-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;ТТЭО;27.11.2017;Т93-17
94-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;ТТЭО;27.11.2017;Т93-17
95-17;2017;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;27.11.2017;Т49-17
96-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;27.12.2017;Т60-17
97-17;;ТГК-1-2;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;27.12.2017;Т21-16
98-17;;ТГК-1-2;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;27.12.2017;Т22-16
99-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;27.12.2017;Т054-18
100-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;27.12.2017;Т052-18
101-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;27.12.2017;Т055-18
