серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;ID проекта;тип ЭОБ;Фамилия присвоившего;дата;серийный номер трансформатора, в который входит ЭОБ;серийные номера чувствительных элементов, к которым подключен ЭОБ;;;технологический паспорт;"паспорта модернизации/
ремонта";файл мониторинга;паспорт монтажа;Комментарий;;Волокно
10-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;п031;ТТЭО;Крылов;30.01.2017;;046-17;030-17;031-17;https://docs.google.com/spreadsheets/d/1MeH4WhBs6iH5yARigYzKCgx3-4l-f4JNQpE0YUrGrHI/edit#gid=1332377651;;https://docs.google.com/spreadsheets/d/1LKQZ_gjhAiBt-meDTl5z_Tk8cPXnehU-gtDMt9uO9UI/edit#gid=1696011800;https://docs.google.com/spreadsheets/d/1jwKKlIhmlJdJhyRbwPVyQ_TRQMnVkoJ5rGfJ_NTEBoE/edit#gid=373097906;;;
11-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;п031;ТТЭО;Крылов;30.01.2017;;045-17;033-17;034-17;https://docs.google.com/spreadsheets/d/1wJmT7ZE8PQxfQ25jRzZ3YdY3h4lmCfIfbDG6Ksq-ISw/edit#gid=1750374755;;https://docs.google.com/spreadsheets/d/1LKQZ_gjhAiBt-meDTl5z_Tk8cPXnehU-gtDMt9uO9UI/edit#gid=1146428619;https://docs.google.com/spreadsheets/d/1rysxFmIiu2Bb0MuuZ8-NuPq8qOn5nGtgZRRrt-nHsn4/edit#gid=373097906;;;
12-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;п031;ТТЭО;Крылов;30.01.2017;;035-17;036-17;037-17;https://docs.google.com/spreadsheets/d/15nNveOfi2LXtVfz_nASUHmnXdRoyJtPoogKvMDpmwPk/edit#gid=1941707469;;https://docs.google.com/spreadsheets/d/1LKQZ_gjhAiBt-meDTl5z_Tk8cPXnehU-gtDMt9uO9UI/edit#gid=1868552249;https://docs.google.com/spreadsheets/d/1t5rSCOP_xYA58lUaNWQWfODc-lMiTr2Yp0LyPc3NhFU/edit#gid=373097906;;;
13-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;п031;ТТЭО;Крылов;30.01.2017;;038-17;039-17;040-17;https://docs.google.com/spreadsheets/d/19EPBbaI6kSY8QPKzJl8RtMqd7W35m1JaF7DLLrX-LI4/edit#gid=1929236434;;https://docs.google.com/spreadsheets/d/1LKQZ_gjhAiBt-meDTl5z_Tk8cPXnehU-gtDMt9uO9UI/edit#gid=1155901497;https://docs.google.com/spreadsheets/d/1tt3L5CUviB6TYSDFwhD7uZmNgsjFb-OlJyvjEYMSn7k/edit#gid=373097906;;;
14-17;;Тестовый ДНЕЭ;;;;;отсутствует;ДНЕЭ;Соловьева;08.02.2017;;0;0;0;;;https://docs.google.com/spreadsheets/d/1IPG778MvDuV-6whimRoJojmI9_8P24lnGESDgg_VHSM/edit#gid=1177660903;;;;
15-17;;Демонстрационный ЭОБ РОСНАНО;;;;;отсутствует;макет;Крылов;27.03.2017;;;;;;;;;;;
16-17;2017;MAXWL17;;;;;п033;ТТЭО;Дикевич;31.03.2017;;0;0;0;https://docs.google.com/spreadsheets/d/1-Uahu5z42eWoiCPjTbaP50AYnEHItxOMNkgxIaypLxI/edit#gid=1560614940;;https://docs.google.com/spreadsheets/d/18kxb6RGaJzRs8N0N1JCzfXYPeYVm2YUEhVCbh4Q-4Xc/edit#gid=692074255;;для испытаний в DNV-GL;;
17-17;2017;GRPEE17;;;;;п034;ТТЭО;Дикевич;31.03.2017;Т17-17;003-17;053-17;054-17;https://docs.google.com/spreadsheets/d/1FkFwPdOkBqkXAnkb5NINPZBix5ChxgUwQ9nD6TwcYeM/edit#gid=619240938;;https://docs.google.com/spreadsheets/d/10_wriIPoxbD6z8ohXhyxpvk8rvnUO-TCu7rG6jldEjE/edit#gid=1158173516;;ТТЭО в ТТНК;;
18-17;2017;GRPEE17;;;;;п034;ДНЕЭ;Дикевич;31.03.2017;Т17-17;003-17;053-17;054-17;https://docs.google.com/spreadsheets/d/17YUO0GhAyUzAP3h-BMCUC5Li8-fLUC5YvSluYy9ZhBA/edit#gid=1709406936;;;;ЭТН ТТНК;;
19-17;2017;CKEMA17;;;;;отсутствует;ТТЭО;Дикевич;31.03.2017;Т19-17;0;0;001-17;https://docs.google.com/spreadsheets/d/1URES6em4IR1zbkwEgq3zCBk22zp8u5SRKZSydyDfxLs/edit#gid=1776320602;;https://docs.google.com/spreadsheets/d/1quyDb6X4dwXSxLRuZHr7lPhH1dL-5qBz2jCJzLusVEM/edit#gid=2134467827;;ТТЭО в ТТНК (изм.);;
20-17;2017;CKEMA17;;;;;отсутствует;ДНЕЭ;Дикевич;31.03.2017;Т19-17;0;0;001-17;https://docs.google.com/spreadsheets/d/1kHl57_OCHmuWJQPyXSek8vuHIVvLW6jq1U0pTVDNs9c/edit#gid=849814164;;;;ЭТН ТТНК;;
21-17;2017;CKEMA17;;;;;отсутствует;ТТЭО;Дикевич;31.03.2017;Т21-17;0;0;052-17;https://docs.google.com/spreadsheets/d/1jdjzRpedsTz5ta44SAOgnjSSKdRNY_7h7ydmiHsbhPE/edit#gid=139451132;;https://docs.google.com/spreadsheets/d/1quyDb6X4dwXSxLRuZHr7lPhH1dL-5qBz2jCJzLusVEM/edit#gid=0;;ТТЭО в ТТНК (защ.);;
22-17;2017;CKEMA17;;;;;отсутствует;ДНЕЭ;Дикевич;31.03.2017;Т21-17;0;0;052-17;https://docs.google.com/spreadsheets/d/1J2iShntNI5hF8q8vh7vQp7NIicrfQmvvJd9_jFtrlq4/edit#gid=500672589;;;;ЭТН ТТНК;;
23-17;2017;Русгидро-2;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;п035;ТТЭО;Дикевич;31.03.2017;Т23-17;0;0;059-17;https://docs.google.com/spreadsheets/d/1ZnNrGmFdBc3YHyU1l2qcFYngMJS-WsWxGI_OPzvnzPI/edit#gid=254518136;;https://docs.google.com/spreadsheets/d/1I8oj4L5VVqvtSdPOvtl7Jves1ahzocYIsZWKMoSkWJc/edit#gid=817810186;;ТТЭО-Ш (1ф);;
24-17;;Русгидро-2;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;п035;ДНЕЭ;Дикевич;31.03.2017;Т24-17;063-17;064-17;065-17;;;;;ЭТН;;
25-17;;Русгидро-2;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;п035;ДНЕЭ;Дикевич;31.03.2017;Т25-17;0;0;066-17;;;;;ЭТН (1ф);;
26-17;2017;Отработка технологии ВЧ модуляторов;;;;;отсутствует;ТТЭО;Дикевич;04.04.2017;;0;0;0;https://docs.google.com/spreadsheets/d/1JE9TDr9CxACKv3Z9mTKXC879hWSxJRmR8gQfkvPUvpk/edit#gid=1848530153;;https://docs.google.com/spreadsheets/d/1Kj0fdZjass1hHbancDfxAE0ELZCJtYNeCqg1t3PnPKo/edit#gid=2041878339;;ЭОБ-Р 67кГц с латунными корпусами и внешними латунными ЛЗ;;
27-17;2017;Саяногорск-4;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;п036;ТТЭО-Г;Дикевич;10.04.2017;;;;;https://docs.google.com/spreadsheets/d/1gdY5di38l-B1J8IcqyKEzLHaHd1We0RSmXyfJ453skg/edit#gid=1392804588;;https://docs.google.com/spreadsheets/d/1LREfj9zew0-k5qsmz0HC6AWBN-d1LdAgNnj9JKQEsx4/edit#gid=2121558062;;;;
28-17;2017;Саяногорск-4;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;п036;ТТЭО-Г;Дикевич;10.04.2017;;;;;https://docs.google.com/spreadsheets/d/1wNntd_2fj0Nn6ukIrqsnPaTTEDS5jEnXBcl50RAvneg/edit#gid=1392804588;;https://docs.google.com/spreadsheets/d/1LREfj9zew0-k5qsmz0HC6AWBN-d1LdAgNnj9JKQEsx4/edit#gid=2109485236;;;;
29-17;2017;Новокузнецк-1;Новокузнецкий алюминиевый завод;РУСАЛ;10;53.77046675224009, 87.23870784383003;п039;ТТЭО-Г;Дикевич;04.05.2017;;;;;https://docs.google.com/spreadsheets/d/13sATO-nnXRfIXHDcOpveg0OESvmr1KHdKPL4aKQfmhk/edit#gid=1146595004;;https://docs.google.com/spreadsheets/d/1IbCTiMP7Hk9fXaNhjSrLM6Cvv9D7-QXIBelX9jyQdtQ/edit#gid=2134467827;;;;
30-17;2017;MAXWL17-2;;;;;п037;ТТЭО;Дикевич;11.05.2017;;0;0;0;https://docs.google.com/spreadsheets/d/1ost_WrM6ZNfxtHMVgnJVSWN060y_sKXqGDvZsNM3-x4/edit#gid=959484774;;https://docs.google.com/spreadsheets/d/18kxb6RGaJzRs8N0N1JCzfXYPeYVm2YUEhVCbh4Q-4Xc/edit#gid=1035399545;;для испытаний в Hydro Quebec;;
31-17;;Русгидро-2;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;п035;ДНЕЭ;Дикевич;25.05.2017;Т31-17;0;0;067-17;;;;;ЭТН (1ф) без колонны;;
32-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;Т32-17;072-17;079-17;"075-17
";https://docs.google.com/spreadsheets/d/1dzJavpP0RqCORzlc6wWgKipT98GaF1L-L0im-rd691M/edit#gid=857145374;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=0;;ТТЭО-500 (изм);;
33-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;Т32-17;072-17;079-17;"075-17
";https://docs.google.com/spreadsheets/d/13NQ6q4NmtCpNIXjFjvOh1ZEX9C460pKRXThC931VpOg/edit#gid=478649317;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=1846823275;;ЭОБ-Р ТТЭО;;
34-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;Т32-17;072-17;079-17;"075-17
";https://docs.google.com/spreadsheets/d/14qogpdwut_4JK40klQAzBq9VBy7zSLpUItKMejU9oD8/edit#gid=546969053;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=346492843;;ЭОБ-Р ТТЭО;;
35-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;Т35-17;074-17;076-17;077-17;https://docs.google.com/spreadsheets/d/1cz2Ynu_FjNH77OctojqZeaTlRUoO4n2G-aWI4lTD-2Q/edit#gid=37571574;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=666993656;;ТТЭО-500 (изм);;
36-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;Т35-17;074-17;076-17;077-17;https://docs.google.com/spreadsheets/d/12sRv4JFymaC6hxLveB3uO5ZwmOG2wLlk0S7w1TC9zsQ/edit#gid=331566366;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=1415406882;;ЭОБ-Р ТТЭО;;
37-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;Т35-17;074-17;076-17;077-17;https://docs.google.com/spreadsheets/d/1O9oh3EYatpEYbhWbobuenZAUH918jRoozIOJ-4EfZJ4/edit#gid=870513248;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=1487156885;;ЭОБ-Р ТТЭО;;
38-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ТТЭО;Дикевич;25.05.2017;;;;;https://docs.google.com/spreadsheets/d/1Qj8OIsPYdB_9QH9HMLcL8nm_2Ziy5UVmVzSfzYGLnv4/edit#gid=1659127590;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=332422692;;ЭОБ-Р ТТЭО (ЗИП);;
39-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ДНЕЭ;Дикевич;25.05.2017;Т39-17;090-17;091-17;092-17;https://docs.google.com/spreadsheets/d/1okrpmvZ0vmOb1NZO2IabFsQvYKnAHS4p2ncFi5rlNAw/edit#gid=146189987;;https://docs.google.com/spreadsheets/d/1MCDZ2vA3-8uPCcOUdgL67s-06UzLX8AoqB_qlkGgWn4/edit#gid=539880656;;ДНЕЭ-500;;
40-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ДНЕЭ;Дикевич;25.05.2017;Т39-17;093-17;094-17;095-17;https://docs.google.com/spreadsheets/d/1gtyV8lgccbE7qwtXrpWofV-R0NljRSKI3Im8KKOMwF4/edit#gid=78618314;;;;ЭОБ-Р ДНЕЭ;;
41-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ДНЕЭ;Дикевич;25.05.2017;Т41-17;096-17;097-17;098-17;https://docs.google.com/spreadsheets/d/1n_ri7-QtLrpD2vlHeOVmep7d705sSVKZy_8Cn0HhJfY/edit#gid=1340864;;;;ДНЕЭ-500;;
42-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ДНЕЭ;Дикевич;25.05.2017;Т41-17;099-17;100-17;101-17;https://docs.google.com/spreadsheets/d/17M5Z8k3qI1hS4QfFQVoYkbchUSLZM7AsnfjqoTjaQLQ/edit#gid=557663139;;;;ЭОБ-Р ДНЕЭ;;
43-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ДНЕЭ;Дикевич;25.05.2017;;;;;https://docs.google.com/spreadsheets/d/1sKjD0LiC946AsJzQ3do6xfu21Ok7CNV7MRaEA31vocE/edit#gid=246881293;;;;ЭОБ-Р ДНЕЭ (ЗИП);;
44-17;2017;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;отсутствует;ТТЭО;Крылов;21.06.2017;Т44-17;0;0;079-17;https://docs.google.com/spreadsheets/d/16yhfHBgWQah_grzhmAaguXPA6Ciegq-NLTj84n5gQ8o/edit#gid=1715850397;;;;ТТЭО-110 (изм);;
45-17;2017;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;отсутствует;ТТЭО;Крылов;21.06.2017;Т44-17;0;0;079-17;https://docs.google.com/spreadsheets/d/1jgQ3LmJmk45_BAxj8rscn_2ivLhyYmvBTCjggreJwl4/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;
46-17;2017;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;отсутствует;ТТЭО;Крылов;21.06.2017;Т44-17;0;0;079-17;https://docs.google.com/spreadsheets/d/1ByNrvN5vye-s2wPWSraOP_Gj4ONBn5HgpUI0f8n6e88/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;
47-17;2107;Транснефть;;Транснефть;110;49.971857, 82.634395;п040;ДНЕЭ;Крылов;21.06.2017;Т47-17;0074-18;0075-18;0076-18;https://docs.google.com/spreadsheets/d/1GKtnX6j7gFqMuQZLeL0PFrhfpdiE_baS998X1GFGQcI/edit#gid=595863490;;;;ДНЕЭ-110;;
48-17;2107;Транснефть;;Транснефть;110;49.971857, 82.634395;п040;ДНЕЭ;Дикевич;21.06.2017;Т47-17;0077-18;0078-18;0079-18;https://docs.google.com/spreadsheets/d/1axmVEPPbfBQS1JzBEENtuxhf7kjaRJ3o_jYEoOSCyo0/edit#gid=932842847;;;;ЭОБ-Р ДНЕЭ-110;;
49-17;2017;Транснефть;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;п040;ТТЭО;Дикевич;03.07.2017;Т49-17;0;0;081-17;https://docs.google.com/spreadsheets/d/1doNOAdaa7BGPf77HSxWCAZe1w6Rojnq4Ql8UAyuHqBE/edit#gid=2072882432;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=83482213;;ТТЭО-6 изм;;
50-17;2017;EDF18;;;;;п048;ДНЕЭ;Дикевич;03.07.2017;Т16-16;0;0;50-17;https://docs.google.com/spreadsheets/d/1B3or7XUeWsTvO5WtqIMFVATU4Jl3Yex20HlNhiUJFFQ/edit#gid=585151638;https://docs.google.com/spreadsheets/d/1AIE7MNZCXFj_Ri4ht-aOkvUPbu5hmalmG9JEQVf7Ark/edit#gid=581105243;;;ТТНК-145 1ф;Бывший ЭТН-6 Транснефть из комплекта для испытаний, бывший ЭОБ-Р-1 Terna;
51-17;2017;Тестовый ЭОБ-4;;;;;отсутствует;ТТЭО;Крылов;13.07.2017;;0;0;0;;;;;;;
52-17;2017;Terna18;Terna;Terna National Electricity Grid;10;45.10096374952365, 7.708535875231089;п049;ТТЭО;Крылов;07.08.2017;;0;0;0;https://docs.google.com/spreadsheets/d/1lXwxXDPJLOGwjorPxd9SD4QI-ybfjwMNEMWW37SkMEA/edit#gid=1839654926;;;;ТТЭО-Г в корпусе 4U;"Бывший ""Разработка ЭОБ 4U""";
53-17;2017;Саяногорск-5;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;п041;ТТЭО-Г;Дикевич;28.08.2017;Т53-17;;;;https://docs.google.com/spreadsheets/d/1-vsq6ZB59Jbn2CAUp1boB_u1dTDM8Igcbzgwn03ibYY/edit#gid=404297804;;https://docs.google.com/spreadsheets/d/1LREfj9zew0-k5qsmz0HC6AWBN-d1LdAgNnj9JKQEsx4/edit#gid=2061401096;;ТТЭО-Г-П;;
54-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т54-17;108-17;109-17;110-17;https://docs.google.com/spreadsheets/d/1HjrDgThJBpi10QUQMiiURED77ccWWWGpkq5tu4QteIw/edit#gid=586585814;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=0;https://docs.google.com/spreadsheets/d/1GKT6St6FqkeSXlDibAuL_MPaXzJS5S6ptSR2kxk_jUg/edit#gid=1767921073;ТТЭО-110;;
55-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т55-17;111-17;112-17;113-17;https://docs.google.com/spreadsheets/d/1QS4R5UhXr1Mh3V3w3v4u4_YeZdaQp3EFslkn02IXWz8/edit#gid=1633970977;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=1017104008;https://docs.google.com/spreadsheets/d/1JE3sK7Bs-mM9b2yjrrR_zLWH7JzabtCZJw1HSvrtzD0/edit#gid=1420241837;ТТЭО-110;;
56-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т56-17;114-17;115-17;116-17;https://docs.google.com/spreadsheets/d/1yhfiOWZvRaG7e9yWKdK4dGccGal3A-iy9YSvWlRtapY/edit#gid=1979665374;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=1752841674;https://docs.google.com/spreadsheets/d/1QnwK9WBIma3JH10_O5lJKfBBxMBukTYDXuhY_sWnF7g/edit#gid=1862998723;ТТЭО-110;;
57-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т57-17;117-17;118-17;119-17;https://docs.google.com/spreadsheets/d/1cIAS91AisSysja6GRrM5uDpSeyW5XEmlpuqak2wa0bI/edit#gid=1242618731;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=1118820027;https://docs.google.com/spreadsheets/d/1UmEK-xmYMnKjNkazai3TAfTvE2kMbLpd08Az9suvlkI/edit#gid=623816314;ТТЭО-110;;
58-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т58-17;120-17;121-17;122-17;https://docs.google.com/spreadsheets/d/16Gksy5Aiy50Azn3XFztbSxdkBl4YKdW1lfpx0vkiOtM/edit#gid=1825224342;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=226599071;https://docs.google.com/spreadsheets/d/1SKBBafQTeT1ey4AMGwVDHT3zZDE1BcSyKjHIJn6ed3g/edit#gid=131297549;ТТЭО-110;;
59-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т59-17;123-17;124-27;125-17;https://docs.google.com/spreadsheets/d/1izTRNiLL1pXqCZ2DsgKwHzOWu_kqqe-Yff1F_BcSWT0/edit#gid=1525142795;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=2078046920;https://docs.google.com/spreadsheets/d/11K-562OH4JTNlVC9SxYMOS1ySGU2IHbDEXoBN_EItUM/edit#gid=1493827586;ТТЭО-110;;
60-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ТТЭО;Крылов;04.09.2017;Т60-17;126-17;127-17;128-17;https://docs.google.com/spreadsheets/d/1mfxKtgAvu8drQObRaNcvw6gq4hSa97-vBhNnzn0fsKg/edit#gid=372843552;;https://docs.google.com/spreadsheets/d/1G_z3mqx5RCgdN5va5xkbRyK3yefnvLggUeFW3khfJDM/edit#gid=1102643041;https://docs.google.com/spreadsheets/d/1qLH8w_drIF33kdSPOWJ4Tq7HU6H9F4ByeG3olZi9nt0/edit#gid=829514106;ТТЭО-110;;
61-17;2017;Красноярск-5;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;#ССЫЛКА!;ТТЭО-Г;;09.07.2017;;;;;;;;;;;
62-17;2017;Красноярск-5;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;#ССЫЛКА!;ТТЭО-Г;;09.07.2017;;;;;;;;;;;
63-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПН;Крылов;25.10.2017;Т39-17;;;;;;;;ЦАПН;для ДНЕЭ 39-17;
64-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПН;Крылов;25.10.2017;Т39-17;;;;;;;;ЦАПН;для ДНЕЭ 40-17;
65-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПН;Крылов;25.10.2017;Т41-17;;;;;;;;ЦАПН;для ДНЕЭ 41-17;
66-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПН;Крылов;25.10.2017;Т41-17;;;;;;;;ЦАПН;для ДНЕЭ 42-17;
67-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;Т32-17;;;;;;;;БПР - 02;для ТТЭО 32-17 и 33-17;
68-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;Т35-17;;;;;;;;БПР - 02;для ТТЭО 35-17 и 36-17;
69-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;Т39-17;;;;;;;;БПР - 02;для ДНЕЭ 39-17 и 40-17;
70-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;Т41-17;;;;;;;;БПР - 02;для ДНЕЭ 41-17 и 42-17;
71-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;Т32-17;;;;;;;;БПР - 01;для ТТЭО 34-17;
72-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;Т35-17;;;;;;;;БПР - 01;для ТТЭО 37-17;
73-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;;;;;;;;;БПР - 01;для ЗИП ТТЭО;
74-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;БПР;Крылов;30.10.2017;;;;;;;;;БПР - 01;для ЗИП ДНЕЭ;
75-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПТ;Крылов;09.11.2017;Т32-17;;;;;;;;ЦАПТ;для Т32-17;
76-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПТ;Крылов;09.11.2017;Т35-17;;;;;;;;ЦАПТ;для Т35-17;
77-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;п038;ЦАПТ;Крылов;09.11.2017;;;;;;;;;ЦАПТ;для Т38-17 (ЗИП);
78-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;09.11.2017;Т54-17;;;;;;;;ЦАПТ;для ТТЭО 54-17;
79-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п075;ЦАПТ;Крылов;09.11.2017;Т053-18;;;;;;;;ЦАПТ;;
80-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;09.11.2017;Т55-17;;;;;;;;ЦАПТ;для ТТЭО 55-17;
81-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;09.11.2017;Т56-17;;;;;;;;ЦАПТ;для ТТЭО 56-17;
82-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;09.11.2017;Т57-17;;;;;;;;ЦАПТ;для ТТЭО 57-17;
